# name|wikipediaTitle|description|priceInr|foodType|category|prepMinutes|meals(B/L/D)|cuisineTags
# Every wikipediaTitle below was checked to resolve to a real photo of the dish.
# ---------------- South Indian / Andhra tiffins ----------------
Idli (2 pcs)|Idli|Steamed rice and urad dal cakes served with sambar and coconut chutney|50|VEG|Tiffins|8|BD|SI,KER,AND
Medu Vada (2 pcs)|Medu vada|Crisp lentil doughnuts served with sambar and chutney|60|VEG|Tiffins|10|BD|SI,KER
Plain Dosa|Dosa (food)|Thin crisp rice and lentil crepe with sambar and chutneys|60|VEG|Tiffins|10|BD|SI,AND
Masala Dosa|Masala dosa|Crisp dosa filled with spiced potato masala|90|VEG|Tiffins|12|BLD|SI,AND,KER
Neer Dosa (3 pcs)|Neer dosa|Soft lacy rice crepes served with coconut chutney|80|VEG|Tiffins|10|BD|SI,KER
Onion Uttapam|Uttapam|Thick rice pancake topped with onion tomato and green chilli|85|VEG|Tiffins|12|BD|SI
Pesarattu|Pesarattu|Andhra green gram crepe served with ginger chutney|80|VEG|Tiffins|12|B|SI,AND
Upma|Upma|Semolina cooked with mustard seeds curry leaves and cashew|50|VEG|Tiffins|8|B|SI,AND
Ven Pongal|Pongal (dish)|Rice and moong dal cooked with pepper cumin and ghee|70|VEG|Tiffins|10|B|SI
Poori Masala (2 pcs)|Puri (food)|Puffed fried bread served with potato masala|70|VEG|Tiffins|12|BL|SI,NI
Bisi Bele Bath|Bisi bele bath|Karnataka style spicy lentil rice with vegetables and ghee|110|VEG|Rice|12|BL|SI
Kesari Bath|Kesari bath|Sweet semolina pudding with ghee cashew and saffron|50|VEG|Desserts|8|B|SI
Punugulu (6 pcs)|Punugulu|Andhra fried idli batter fritters with peanut chutney|60|VEG|Snacks|10|BD|SI,AND,STR
Mirchi Bajji (4 pcs)|Bhaji|Stuffed green chilli fritters in gram flour batter|60|VEG|Snacks|10|LD|SI,AND,STR
Filter Coffee|Indian filter coffee|Strong South Indian decoction coffee with frothy milk|40|VEG|Beverages|4|BLD|SI,KER,AND
Masala Chai|Masala chai|Spiced milk tea brewed with ginger and cardamom|25|VEG|Beverages|4|BLD|SI,NI,STR,BAK,BIR
Spiced Buttermilk|Buttermilk|Chilled salted buttermilk with curry leaves and ginger|30|VEG|Beverages|3|LD|SI,AND,KER
Pulihora|Pulihora|Tangy tamarind rice tempered with peanuts and curry leaves|90|VEG|Rice|8|L|SI,AND
Lemon Rice|Lemon rice|Turmeric rice with lemon peanuts and curry leaves|80|VEG|Rice|8|L|SI
Curd Rice|Curd rice|Cooling rice and yoghurt tempered with mustard and chilli|80|VEG|Rice|6|LD|SI,AND,KER
Full Meals (Veg Thali)|Thali|Rice sambar rasam dal two curries pickle curd and a sweet|190|VEG|Meals|15|LD|SI,AND,KER
Payasam|Kheer|Creamy milk pudding with vermicelli and dry fruits|70|VEG|Desserts|5|LD|SI,AND,KER
Bobbatlu (Puran Poli)|Puran poli|Sweet flatbread stuffed with jaggery and chana dal|70|VEG|Desserts|10|LD|SI,AND
